Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C14, C15, C2, C3, C30, C31, C34, C35, C36, C37, C38, C39, C4, C41, C42, C43, C47, C49, C5, C52, C7, C71, C73, C76",0603,26,100n,
"C11, C12",0603,2,27p,
C13,0603,1,4u7,
C17,0603,1,0.47u,
C18,0805,1,33u,
"C28, C40",0603,2,1u,
"C45, C46, C6, C69, C70, C9",0603,6,10u,
"C48, C72",0603,2,33n,
"C50, C51",0805,2,47u,
"C74, C75",0603,2,22u,
C8,0603,1,10n,
"D1, D2, D4, D7",1206,4,RED,
J1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
"J2, J3",TE_282834-4,2,Screw_Terminal_01x04,
J4,691210910003,1,Screw_Terminal_01x03,
"J5, J9",U.FL_Molex_MCRF_73412-0110_Vertical,2,Conn_Coaxial,
J7,104031-0811,1,104031-0811,
J8,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
L2,1210,1,4.7u,
L3,1008,1,27n,
L4,1008,1,330n,
L6,1210,1,6u8,
LS1,PS1240P02BT,1,PS1240P02BT,
"Q1, Q2",FDS6681Z,2,FDS6681Z,
"R1, R11, R12, R14, R17, R19, R29, R33, R38, R39, R43, R6, R9",0603,13,10k,
"R10, R13",0603,2,30k,
R15,0603,1,20k,
R16,0603,1,2k5,
"R18, R20",0603,2,100,
"R2, R30",0603,2,5.1K,
"R21, R22",0603,2,4k7,
R23,0603,1,1k,
R25,0603,1,10,
"R27, R7",0603,2,360k,
"R28, R8",0603,2,200k,
"R3, R4",0603,2,75,
R34,0603,1,47k,
R35,0603,1,15k,
"R40, R41",0603,2,200,
R42,0805,1,90k,
R5,0603,1,300,
"S1, S2",500SSP1S1M6QEA,2,500SSP1S1M6QEA,
TP1,TestPoint_Pad_D2.0mm,1,3.3V TestPoint,
TP2,TestPoint_Pad_D2.0mm,1,8V TestPoint,
TP3,TestPoint_Pad_D2.0mm,1,VBUS TestPoint,
TP4,TestPoint_Pad_D2.0mm,1,GND TestPoint,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F446RETx,
U10,ublox_NEO,1,NEO-M9N,
U12,BMP388,1,BMP388,
"U13, U3",TPS62933DRLR,2,TPS62933DRLR,
U15,LM3940IMPX-3.3_NOPB,1,LM3940IMPX-3.3_NOPB,
U16,LGA-12_2x2mm_P0.5mm,1,LIS3MDL,
"U17, U9",IRLML6346TRPBF,2,IRLML6346TRPBF,IRLML6346TRPBF
U2,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U4,E22-900MM22S,1,E22-900MM22S,
U5,BMI330,1,BMI330,
U6,TPD1E0B04DPYT,1,TPD1E0B04DPYT,
U7,TPD4E05U06DQAR,1,TPD4E05U06DQAR,
Y2,ABLS-8.000MHZ-B2-T,1,ABLS-8.000MHZ-B2-T,
