Designator,Mid X,Mid Y,Rotation,Layer
C1,140.0,-110.8,315.0,top
C10,141.1,-113.2,45.0,top
C11,124.8,-102.0,225.0,top
C12,137.5,-114.5,225.0,top
C13,148.4,-104.6,225.0,top
C14,145.6,-88.3,0.0,top
C15,130.57071,-113.674874,315.0,top
C17,131.2,-85.5,90.0,top
C18,140.2,-85.3,90.0,top
C2,131.9,-98.5,135.0,top
C28,150.2,-113.5,90.0,top
C3,141.9,-110.5,315.0,top
C30,151.7,-113.5,90.0,top
C31,172.1,-109.1,90.0,top
C34,127.9,-83.262,90.0,top
C35,87.5,-99.1,180.0,top
C36,152.037615,-94.705025,135.0,top
C37,91.01,-92.465,0.0,top
C38,88.51,-94.865,270.0,top
C39,90.135,-105.2,90.0,top
C4,148.8,-102.1,45.0,top
C40,88.535,-105.2,90.0,top
C41,91.735,-105.2,90.0,top
C42,88.51,-101.8,270.0,top
C43,87.5,-97.4,180.0,top
C45,100.9625,-90.2,180.0,top
C46,100.9375,-88.7,180.0,top
C47,104.3,-87.9,0.0,top
C48,104.6,-81.6,0.0,top
C49,104.5875,-83.1,0.0,top
C5,139.0,-93.4,135.0,top
C50,107.9,-88.1,180.0,top
C51,108.2,-82.9,180.0,top
C52,109.1,-89.9,180.0,top
C6,131.9,-100.6,135.0,top
C69,100.9,-93.7125,270.0,top
C7,131.5,-102.4,135.0,top
C70,99.4,-93.7,270.0,top
C71,102.365,-93.65,270.0,top
C72,108.6,-94.3,270.0,top
C73,107.065,-94.35,270.0,top
C74,102.3,-97.1,90.0,top
C75,107.065,-97.65,270.0,top
C76,100.8,-97.1,90.0,top
C8,155.7,-97.55,180.0,top
C9,159.1,-98.4,0.0,top
D1,111.7,-96.1,90.0,top
D2,145.7,-113.1,180.0,top
D4,123.1,-95.9875,90.0,top
D7,171.3,-113.4,90.0,top
J1,129.90197483632073,-95.59802516367925,135.0,top
J2,101.1375,-111.47,0.0,top
J3,112.4,-111.47,0.0,top
J4,122.36,-111.5,180.0,top
J5,169.5,-103.0,270.0,top
J7,120.5,-84.8,180.0,top
J8,149.3,-81.51,180.0,top
J9,169.6,-96.6,270.0,top
L2,108.0875,-85.5,0.0,top
L3,168.5,-108.9,270.0,top
L4,168.7,-92.2,0.0,top
L6,104.7,-96.9,270.0,top
LS1,92.3,-85.1,270.0,top
Q1,113.5,-105.0,0.0,top
Q2,102.9,-105.2,0.0,top
R1,133.0,-97.5,315.0,top
R10,106.425,-100.095,0.0,top
R11,108.925,-100.995,270.0,top
R12,119.6,-102.7,90.0,top
R13,118.1,-102.7,270.0,top
R14,118.1,-106.1,270.0,top
R15,129.866548,-110.466548,315.0,top
R16,132.2,-112.8,315.0,top
R17,115.6,-99.9,0.0,top
R18,115.6,-101.4,0.0,top
R19,103.0078,-100.1348,0.0,top
R2,152.9,-88.3,180.0,top
R20,103.0078,-101.6398,0.0,top
R21,135.1,-95.4,315.0,top
R22,134.0,-96.4,315.0,top
R23,167.8,-112.7,90.0,top
R25,170.6,-109.1,270.0,top
R27,104.3,-90.9,0.0,top
R28,104.3,-89.4,180.0,top
R29,98.3,-106.2,270.0,top
R3,113.8,-96.9,90.0,top
R30,143.0,-84.7,90.0,top
R33,142.633095,-92.230152,45.0,top
R34,101.2,-82.3,180.0,top
R35,101.2,-83.8,180.0,top
R38,152.108326,-98.169848,45.0,top
R39,162.4,-98.4,180.0,top
R4,146.2,-115.1,180.0,top
R40,168.3,-90.0,180.0,top
R41,168.3,-88.5,0.0,top
R42,109.3,-91.6,180.0,top
R43,106.7,-90.9125,90.0,top
R5,121.1,-96.7875,90.0,top
R6,109.0,-105.9,270.0,top
R7,101.9,-86.3,90.0,top
R8,100.4,-86.3,270.0,top
R9,106.525,-101.695,180.0,top
S1,90.7925,-99.5,270.0,bottom
S2,135.6,-84.635,0.0,bottom
U1,140.4,-102.0,315.0,top
U10,159.8,-107.6,180.0,top
U12,90.61,-94.465,0.0,top
U13,104.6,-93.0,0.0,top
U15,135.6,-82.925,90.0,top
U16,90.61,-102.2,0.0,top
U17,99.3,-100.6,180.0,top
U2,147.3,-95.2,225.0,top
U3,104.2375,-85.565,90.0,top
U4,160.6,-91.65,90.0,top
U5,90.85,-98.363,270.0,top
U6,169.0,-106.2,0.0,top
U7,149.5,-88.6175,90.0,top
U9,111.9,-100.7,180.0,top
Y2,131.933623,-107.633623,315.0,top
